Comment,Designator,Footprint,JLCPCB Part #
0603WAF1000T5E,R27,R0603,C22775
0603WAF1003T5E,"R22,R26",R0603,C25803
0603WAF3302T5E,R21,R0603,C4216
0805W8F1002T5E,"R20,R24,R25",R0805,C17414
AL8860MP-13,U2,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP1.8,C500782
AP63203WU-7,U4,TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL,C780769
BSMD1206-075-30V,F1,F1206,C976305
CC0603KRX7R9BB104,"C13,C15,C18,C20,C21,C22,C24",C0603,C14663
CL10A105KB8NNNC,C19,C0603,C15849
CL21A226MAQNNNE,"C16,C17",C0805,C45783
CL31A106KBHNNNE,"C10,C11,C12,C14",C1206,C13585
FNR4030S4R7MT,L2,IND-SMD_L4.0-W4.0_FNR40XXS,C167874
FRC2512F33R0TS,"R30,R31,R32,R33,R34,R35,R36,R37",R2512,C2934070
FXL0630-330-M,L1,IND-SMD_L7.0-W6.6_FXL0630,C177245
HL-AM-2835H421W-S1-08-HR3,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24",LED-SMD_L3.3-W2.8-RD,C210315
NCP18XH103F03RB,RT1,R0603,C13564
PM254V-11-06-H85,J2,HDR-TH_6P-P2.54-V-F,C2832269
PZ254V-11-05P,J3,HDR-TH_5P-P2.54-V-M,C492404
RK10J11E0034,RV1,POT-TH_RK10J11E0034,C470643
RLP25FEER200,RS1,R2512,C459674
SMAJ20A,D10,SMA_L4.2-W2.6-LS5.3-RD,C571370
SS-12D01-G020,SW2,SW-TH_SS-12D01-G020,C5446803
SS26,D11,SMA_L4.3-W2.6-LS5.0-FD,C7420363
STM32G031F8P6,U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C529334
