Designator,Mid X,Mid Y,Layer,Rotation
C10,47.7500mm,-52.5000mm,Top,0
C11,47.7500mm,-54.7500mm,Top,0
C12,49.7500mm,-57.2500mm,Top,0
C13,45.0000mm,-57.7500mm,Top,0
C14,56.2500mm,-43.7500mm,Top,90
C15,39.8000mm,-53.4000mm,Top,90
C16,27.2250mm,-40.5500mm,Top,180
C17,27.2000mm,-42.5250mm,Top,180
C18,55.6000mm,-33.5000mm,Top,270
C19,55.6000mm,-30.8000mm,Top,90
C20,36.2540mm,-53.6250mm,Top,0
C21,19.5000mm,-49.5000mm,Top,90
C22,36.2540mm,-51.0250mm,Top,0
C24,31.0000mm,-27.0000mm,Top,180
D10,54.2500mm,-38.7500mm,Top,180
D11,10.8000mm,-57.8000mm,Top,0
F1,42.0000mm,-56.3500mm,Top,270
J2,29.4000mm,-37.7000mm,Bottom,0
J3,57.9500mm,-29.4750mm,Bottom,270
L1,10.5450mm,-40.3000mm,Top,0
L2,32.1750mm,-42.7750mm,Top,180
LED1,46.1900mm,-48.7250mm,Top,90
LED2,50.2400mm,-48.7250mm,Top,90
LED3,54.2900mm,-48.7250mm,Top,90
LED4,46.0000mm,-8.0900mm,Top,90
LED5,50.0500mm,-8.0900mm,Top,90
LED6,54.1000mm,-8.0900mm,Top,90
LED7,39.2500mm,-31.5350mm,Top,90
LED8,43.3000mm,-31.5350mm,Top,90
LED9,47.3500mm,-31.5350mm,Top,90
LED10,6.9600mm,-8.7250mm,Top,90
LED11,10.4500mm,-8.7250mm,Top,90
LED12,14.5000mm,-8.7250mm,Top,90
LED13,39.1750mm,-22.9100mm,Top,90
LED14,43.2250mm,-22.9100mm,Top,90
LED15,47.2750mm,-22.9100mm,Top,90
LED16,13.7000mm,-22.6850mm,Top,90
LED17,17.7500mm,-22.6850mm,Top,90
LED18,21.8000mm,-22.6850mm,Top,90
LED19,6.1900mm,-48.7250mm,Top,90
LED20,10.2400mm,-48.7250mm,Top,90
LED21,14.2900mm,-48.7250mm,Top,90
LED22,13.1750mm,-31.8600mm,Top,90
LED23,17.2250mm,-31.8600mm,Top,90
LED24,21.2750mm,-31.8600mm,Top,90
R20,23.2540mm,-53.2250mm,Top,180
R21,17.3000mm,-49.1750mm,Top,90
R22,19.5750mm,-39.6000mm,Top,180
R24,23.2540mm,-50.8250mm,Top,0
R25,30.9500mm,-39.7000mm,Top,0
R26,36.0000mm,-56.5000mm,Top,0
R27,22.8000mm,-58.0000mm,Top,90
R30,50.3050mm,-44.5250mm,Top,180
R31,40.5000mm,-13.2500mm,Top,180
R32,52.0000mm,-28.2500mm,Top,90
R33,11.2500mm,-14.5000mm,Top,0
R34,43.5000mm,-18.0000mm,Top,180
R35,4.5000mm,-23.2500mm,Top,270
R36,3.0000mm,-42.3000mm,Top,270
R37,4.5000mm,-32.2500mm,Top,90
RS1,19.6500mm,-42.9250mm,Top,180
RT1,31.0000mm,-28.1750mm,Top,180
RV1,51.9000mm,-9.5000mm,Bottom,180
SW2,9.1000mm,-27.7500mm,Bottom,90
U2,18.7650mm,-55.3300mm,Top,180
U3,30.1300mm,-53.1800mm,Top,90
U4,39.2000mm,-57.2000mm,Top,0
