Designator;Designation;Footprint;Quantity
R27;0603WAF1000T5E;R0603;1
R22,R26;0603WAF1003T5E;R0603;2
R21;0603WAF3302T5E;R0603;1
R20,R24,R25;0805W8F1002T5E;R0805;3
U2;AL8860MP-13;MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP1.8;1
U4;AP63203WU-7;TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL;1
F1;BSMD1206-075-30V;F1206;1
C13,C15,C18,C20,C21,C22,C24;CC0603KRX7R9BB104;C0603;7
C19;CL10A105KB8NNNC;C0603;1
C16,C17;CL21A226MAQNNNE;C0805;2
C10,C11,C12,C14;CL31A106KBHNNNE;C1206;4
L2;FNR4030S4R7MT;IND-SMD_L4.0-W4.0_FNR40XXS;1
R30,R31,R32,R33,R34,R35,R36,R37;FRC2512F33R0TS;R2512;8
L1;FXL0630-330-M;IND-SMD_L7.0-W6.6_FXL0630;1
LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24;HL-AM-2835H421W-S1-08-HR3;LED-SMD_L3.3-W2.8-RD;24
RT1;NCP18XH103F03RB;R0603;1
J2;PM254V-11-06-H85;HDR-TH_6P-P2.54-V-F;1
J3;PZ254V-11-05P;HDR-TH_5P-P2.54-V-M;1
RV1;RK10J11E0034;POT-TH_RK10J11E0034;1
RS1;RLP25FEER200;R2512;1
D10;SMAJ20A;SMA_L4.2-W2.6-LS5.3-RD;1
SW2;SS-12D01-G020;SW-TH_SS-12D01-G020;1
D11;SS26;SMA_L4.3-W2.6-LS5.0-FD;1
U3;STM32G031F8P6;TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL;1
