Ref,Val,Package,PosX,PosY,Rot,Side
"J2","2.54mm 1x6 female","HDR-TH_6P-P2.54-V-F",29.400000,-37.700000,0.000000,bottom
"J3","SWD 1x5","HDR-TH_5P-P2.54-V-M",57.950000,-29.475000,-90.000000,bottom
"RV1","10k brightness pot","POT-TH_RK10J11E0034",51.900000,-9.500000,0.000000,bottom
"SW2","Power ON/OFF slide","SW-TH_SS-12D01-G020",9.100000,-27.750000,90.000000,bottom
"C10","10uF/50V","C1206",47.750000,-52.500000,0.000000,top
"C11","10uF/50V","C1206",47.750000,-54.750000,0.000000,top
"C12","10uF/50V","C1206",49.750000,-57.250000,0.000000,top
"C13","100nF/50V","C0603",45.000000,-57.750000,0.000000,top
"C14","10uF/50V","C1206",56.250000,-43.750000,90.000000,top
"C15","100nF/50V","C0603",39.800000,-53.400000,90.000000,top
"C16","22uF/25V","C0805",27.225000,-40.550000,180.000000,top
"C17","22uF/25V","C0805",27.200000,-42.525000,180.000000,top
"C18","100nF/50V","C0603",55.600000,-33.500000,-90.000000,top
"C19","1uF/50V","C0603",55.600000,-30.800000,90.000000,top
"C20","100nF/50V","C0603",36.254000,-53.625000,0.000000,top
"C21","100nF/50V","C0603",19.500000,-49.500000,90.000000,top
"C22","100nF/50V","C0603",36.254000,-51.025000,0.000000,top
"C24","100nF/50V","C0603",31.000000,-27.000000,180.000000,top
"D10","SMAJ20A","SMA_L4.2-W2.6-LS5.3-RD",54.250000,-38.750000,180.000000,top
"D11","SS26","SMA_L4.3-W2.6-LS5.0-FD",10.800000,-57.800000,0.000000,top
"F1","PPTC 750mA/30V","F1206",42.000000,-56.350000,-90.000000,top
"J4","UART pads","PogoPad_1x03_P2.54mm",30.040000,-58.250000,180.000000,top
"L1","33uH","IND-SMD_L7.0-W6.6_FXL0630",10.545000,-40.300000,0.000000,top
"L2","4.7uH","IND-SMD_L4.0-W4.0_FNR40XXS",32.175000,-42.775000,180.000000,top
"LED1","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",46.190000,-48.725000,90.000000,top
"LED2","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",50.240000,-48.725000,90.000000,top
"LED3","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",54.290000,-48.725000,90.000000,top
"LED4","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",46.000000,-8.090000,90.000000,top
"LED5","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",50.050000,-8.090000,90.000000,top
"LED6","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",54.100000,-8.090000,90.000000,top
"LED7","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",39.250000,-31.535000,90.000000,top
"LED8","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",43.300000,-31.535000,90.000000,top
"LED9","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",47.350000,-31.535000,90.000000,top
"LED10","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",6.960000,-8.725000,90.000000,top
"LED11","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",10.450000,-8.725000,90.000000,top
"LED12","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",14.500000,-8.725000,90.000000,top
"LED13","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",39.175000,-22.910000,90.000000,top
"LED14","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",43.225000,-22.910000,90.000000,top
"LED15","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",47.275000,-22.910000,90.000000,top
"LED16","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",13.700000,-22.685000,90.000000,top
"LED17","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",17.750000,-22.685000,90.000000,top
"LED18","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",21.800000,-22.685000,90.000000,top
"LED19","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",6.190000,-48.725000,90.000000,top
"LED20","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",10.240000,-48.725000,90.000000,top
"LED21","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",14.290000,-48.725000,90.000000,top
"LED22","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",13.175000,-31.860000,90.000000,top
"LED23","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",17.225000,-31.860000,90.000000,top
"LED24","2835 3000K CRI80","LED-SMD_L3.3-W2.8-RD",21.275000,-31.860000,90.000000,top
"R20","10k","R0805",23.254000,-53.225000,180.000000,top
"R21","33k","R0603",17.300000,-49.175000,90.000000,top
"R22","100k wiper pull-down","R0603",19.575000,-39.600000,180.000000,top
"R24","10k","R0805",23.254000,-50.825000,0.000000,top
"R25","10k","R0805",30.950000,-39.700000,0.000000,top
"R26","100k","R0603",36.000000,-56.500000,0.000000,top
"R27","100R","R0603",22.800000,-58.000000,90.000000,top
"R30","33R 1% 1W","R2512",50.305000,-44.525000,180.000000,top
"R31","33R 1% 1W","R2512",40.500000,-13.250000,180.000000,top
"R32","33R 1% 1W","R2512",52.000000,-28.250000,90.000000,top
"R33","33R 1% 1W","R2512",11.250000,-14.500000,0.000000,top
"R34","33R 1% 1W","R2512",43.500000,-18.000000,180.000000,top
"R35","33R 1% 1W","R2512",4.500000,-23.250000,-90.000000,top
"R36","33R 1% 1W","R2512",3.000000,-42.300000,-90.000000,top
"R37","33R 1% 1W","R2512",4.500000,-32.250000,90.000000,top
"RS1","200mR 1% 2W","R2512",19.650000,-42.925000,180.000000,top
"RT1","NTC 10k B3380","R0603",31.000000,-28.175000,180.000000,top
"TP1","CTRL test pad","TestPad_D1.5mm",21.000000,-58.400000,180.000000,top
"U2","AL8860MP-13","MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP1.8",18.765000,-55.330000,180.000000,top
"U3","STM32G031F8P6","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",30.130000,-53.180000,90.000000,top
"U4","AP63203WU-7","TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL",39.200000,-57.200000,0.000000,top
