Designator;Designation;Footprint;Quantity
R19,R20;0603WAF0000T5E;R0603;2
R11;0603WAF1003T5E;R0603;1
R12;0603WAF1503T5E;R0603;1
R13,R14;0603WAF4700T5E;R0603;2
R15,R16;0603WAF4701T5E;R0603;2
R21;0805W8F1002T5E;R0805;1
Q1;AO3401A;SOT-23_L2.9-W1.3-P1.90-LS2.4-BR;1
C2,C35;CC0603KRX7R9BB104;C0603;2
C30,C34;CL10A105KB8NNNC;C0603;2
C1;CL31A106KBHNNNE;C1206;1
JOUT1;PZ254V-11-06P;HDR-TH_6P-P2.54-V-M;1
D5;SMAJ20A;SMA_L4.2-W2.6-LS5.3-RD;1
U1;STUSB4500QTR;QFN-24_L4.0-W4.0-P0.50-BL-EP2.8;1
J1;TYPE-C-31-M-17;USB-C-SMD_10P-P1.00-L6.8-W8.9;1
